SYMBOL,VOLUME,SOCIAL_VOLUME,SOCIAL_DOMINANCE,TWITTER_VOLUME,BEARISH_SENTIMENT,BULLISH_SENTIMENT,MARKET_DOMINANCE,CIRCULATING_SUPPLY,MARKET_CAP
ADA,1135899988,28293,1.344914822,23530,5014,15131,1.383533364,33752565071,18813703716
ALGO,204302037,6080,0.289014319,5153,963,3011,0.242575926,6811778841,3298620559
APE,1245826658,7087,0.336882315,5224,954,3241,0.178449083,284843750,2426604419
ATOM,421860002.1,1940,0.092218385,1561,195,942,0.246550679,286370297,3352670455
AUDIO,111199560.4,158,0.007189962,116,11,67,0.024048596,713381683,324963173
AVAX,975419502,4489,0.213385736,3935,1038,1472,0.688811349,268945636,9366664350
AXS,795071242.3,5173,0.245899847,4728,870,2890,0.109460664,60907500,1488479108
BNT,8310873.3,542,0.024664302,471,136,257,0.029259136,273335441,395372010
BTC,33491104242,401395,19.08041158,349849,51333,256437,42.15716578,19040681,5.73E+11
BTG,6788646.31,20,0.000910122,13,2,9,0.025078716,17513924,338882954
CAKE,95679278.97,28179,1.339495803,26267,3429,14278,0.096922458,296240510,1317980798
CDT,146185.72,919,0.041695363,779,175,438,0.004318361,7745635,58734338
CEEK,7664233.55,128,0.005807406,128,53,35,0.010899559,796076729,148245702
CFX,7897453.93,144,0.006533332,125,9,112,0.011058193,1822209480,150403294
CHR,92452295.2,304,0.01379259,260,37,80,0.009950708,567369439,135340306
CHSB,324572.72,313,0.014243407,289,103,153,0.021353951,1000000000,288551055
CHZ,115864799.1,557,0.026477134,444,88,222,0.046825021,6000378917,636740744
CKB,53175795.25,360,0.016333331,274,51,181,0.012591194,33340068750,171253746
COCOS,5485360.35,16,0.000725926,16,3,8,0.003003904,42015868,40856312
COMP,75415461.34,1909,0.086871129,1063,709,308,0.035977025,7112710,486149310
CRO,242750624.7,2242,0.10657403,1620,274,1087,0.35937535,25263013692,4886894333
CRPT,1073251.56,3683,0.167099046,3505,15,3318,0.001103375,81355789.86,15007088
CSPR,16724574.29,333,0.015108331,312,66,195,0.012948496,4820019711,176113434
DAG,1321614.24,1200,0.054444435,1119,157,684,0.020761848,1266911931,282383413
DAI,397884618.6,1197,0.056899694,1129,498,547,0.447210589,6465305383,6081304389
DAO,2501671.67,489,0.022186107,345,64,174,0.014196098,70892939,188430358.6
DASH,183439328.9,55,0.002614439,51,8,28,0.047613815,10725037,647467012
DCR,8632095.46,367,0.016700736,303,47,224,0.038947849,14019741,526293371
DEXT,108951.7,2508,0.113771062,2334,536,1258,0.001359631,97605223.75,18473340
DGB,54839325.88,1098,0.049816658,1004,29,785,0.014302261,15334562970,194526099
DOGE,776677955.4,39871,1.895277943,36283,6751,21624,0.876874496,1.32671E+11,11924003708
DOT,1219349042,2671,0.126966652,2434,342,1723,0.900833476,987579315,12249805142
DREP,4061362.02,170,0.007712962,146,31,93,0.002914597,39900000,38686580.76
ELON,9245266.38,681,0.030989648,599,116,339,0.032726707,5.51266E+14,434394390.8
ENJ,125275081,1823,0.08665676,1629,334,963,0.048963042,889481956,665814202
EOS,321726205,526,0.025003541,413,26,371,0.098040463,989538642,1333183773
ETH,14830417625,222781,10.58995048,203965,26395,140122,18.45096568,120790781,2.51E+11
FIL,297615061.4,3718,0.176736059,3583,464,436,0.133496272,205465624,1815322552
FLUX,4399115.68,975,0.044236104,923,294,342,0.012259664,233788880,166744592
FTM,1289890651,7787,0.37015699,7069,1017,4954,0.066700774,2545006273,907017225
FXS,75020574.69,346,0.015698146,315,102,176,0.039585354,16209405,538403289
GALA,1084992037,888,0.042211302,743,106,418,0.051367465,6977205436,698510272
GLMR,50350082.28,495,0.022525515,456,116,205,0.071123719,271782998,944052961.2
HARD,35577711.31,279,0.012658331,254,109,121,0.001668189,121250000,22689155
HEC,377247.12,88,0.003992592,78,3,67,0.000226232,3300961.8,3002866.19
HEX,12942685.08,2397,0.10875276,2224,304,1719,1.388741819,1.73411E+11,18888378889
HIVE,4469005.84,201,0.009146724,137,25,69,0.01406826,433576573,190101183
HNT,28093541.93,300,0.013611109,217,55,122,0.079804975,117775735,1085433292
HOT,903123505.8,305,0.013879358,280,79,126,0.034399829,1.73305E+11,464837019
HTR,1988957.17,200,0.009074073,170,23,116,0.003352789,230840984,45601529
ICE,152163.36,149,0.006760184,116,13,59,0.000488644,185081330.9,6485966.91
ICX,20964270.49,366,0.016655229,289,43,197,0.022189111,919483096,299836383
IMX,2998.66,159,0.007235469,107,27,59,0.036430289,235284001,483553481.4
IOST,224405587.1,177,0.008054578,125,37,68,0.030010716,18588745668,405527939
IOTX,60404751.63,346,0.015745108,262,74,137,0.021724335,9540779324,293555969
JST,192956290.7,139,0.006325347,98,26,62,0.022211913,7300425000,300144490
KAVA,93865319.92,291,0.013242273,211,28,131,0.032884417,191998094,444359597
KDA,200541881.9,3850,0.175198452,3653,761,2403,0.043336764,184053151,585599768
KEEP,2304842.55,117,0.005308332,77,5,66,0.011089829,739068861,150833570
KEY,4628592.75,173,0.007849073,142,19,70,0.001441532,5124969446,19606381
KNC,79627667.11,358,0.016291181,286,28,219,0.005993454,177809350,80988170
KSM,99832075.45,1261,0.057383181,1132,208,617,0.046193726,8470098,624205251
LDO,10664017.88,119,0.005415225,64,24,31,0.036353838,312951154,491241097
LINK,405210075.9,5561,0.264343524,5098,895,2979,0.261202485,467009550,3551910129
LPT,39308319,133,0.00605231,84,14,62,0.028425795,23808575,384111266
LRC,98594933.55,4394,0.208869887,2915,300,1601,0.044203349,1330082009,601090458
LSK,13060303.41,176,0.007985184,154,27,115,0.012945457,128900445,176072111
LTC,865813769.3,2388,0.113514176,1926,220,1589,0.35324217,70291293.78,4803493499
LTO,3006048.77,329,0.014926849,296,25,214,0.002451346,382646314.5,33340931
LTX,436723.18,129,0.005851861,112,21,74,0.001788841,28653895.88,24305028
MANA,1914062087,5405,0.256928025,4597,740,2237,0.135411114,1844090505,1841361149
MATIC,640367263.4,9264,0.440366554,8725,1254,5031,0.405907694,7948866567,5519655170
MED,159998.68,26,0.001179629,24,0,21,0.010632725,5382401140,144616475
META,22926428.16,99,0.004491666,74,23,37,0.006471138,1687369624,88014425
MINA,53203299.7,214,0.009738304,154,50,75,0.039670257,502961366,536055097
MIOTA,58064466.4,149,0.007082752,73,16,25,0.072872822,2779530283,990946604
MOOV,1303928.88,269,0.012204628,245,86,119,0.00130735,496000000,17352962.14
MTV,508761.3,472,0.021414811,418,66,281,0.000426844,3587369426,5805536
MX,3615869.8,338,0.015335183,300,51,147,0.011715934,100000000,159349268
MXC,14305644.97,54,0.00245,39,7,27,0.013284788,2642132373,180687376
NEXO,5641710.38,261,0.0124067,154,6,117,0.056339875,560000011,766126607
OCEAN,17737577.67,406,0.018420367,337,52,243,0.007086233,613099141,96380367
OKB,32962651.11,85,0.004040496,66,9,38,0.242404244,60000000,3296285983
OMG,91884889.94,181,0.008236603,100,20,77,0.02580538,140245398,348702188
ONE,173737250.8,1233,0.056109011,1095,535,404,0.043938656,12064900052,593733004
ONT,35791878.66,156,0.00709895,106,8,45,0.017343966,875249524,234365038
ORBS,1899378.37,40,0.001814815,28,4,18,0.010085639,2876767039,137175508
POLY,21000751.86,271,0.012295368,214,16,147,0.013533259,898550830,184066844
PULI,207745.66,11272,0.51141473,10767,1281,4996,8.70E-05,50877976.56,1182906
QNT,33679325.78,1288,0.061225402,1171,168,861,0.068829764,12072738,935967882
QTUM,60530459.95,115,0.005233201,65,10,52,0.030923821,104164665,417866516
QUACK,738814.75,4243,0.192506449,4156,355,2402,0.004410853,4.4086E+16,58546972.08
RAY,40805958.57,296,0.013429627,243,42,159,0.010173028,106904987,138364101
REN,42618061.77,207,0.009391665,155,13,128,0.012044199,999037500,163814030
RLY,1376653.59,181,0.008212036,150,23,84,0.015133647,2774750478,205833839
RNDR,30342273.7,147,0.006689395,99,28,56,0.01653828,253798860,223477998
ROSE,89078070.39,592,0.026939606,591,129,216,0.019397673,3493014306,262116314
RUNE,285714130.6,942,0.044778205,805,176,409,0.076567915,330688061,1041193585
RVN,78551194.52,669,0.030443575,576,98,358,0.022719829,10473290000,307007852
SAND,853890610.1,1882,0.08946134,1538,215,1150,0.122958371,1227539778,1672024991
SCRT,3008346.77,633,0.028805356,571,95,321,0.062337715,163295557,827432894.8
SFM,2332432.17,16552,0.750970245,14220,1741,9068,0.013479819,5.6451E+11,183339996
SHIB,650938820.1,26113,1.241287977,24409,3882,15192,0.504299611,5.49063E+14,6857618123
SKL,46073603.64,3340,0.151990345,3222,737,1738,0.021838429,3501977671,295097690
SOL,2892101494,24480,1.163662914,22997,4008,13101,1.357940726,337461628,18465687312
SRM,52889182.93,299,0.013606321,253,119,91,0.029751688,263244669,402027748
STARL,7135030.95,250,0.011342591,217,57,76,0.009373421,9.97917E+12,124417085.2
STORJ,47446938.77,81,0.003685993,33,3,23,0.005912326,390191313.3,79891905
SUSHI,120293094.4,575,0.026087959,408,83,221,0.023340865,127244443,317460816
SXP,79587844.34,230,0.010435183,177,22,111,0.017178848,484352608,233650766
TFUEL,23381209.09,376,0.01711029,321,60,237,0.067138074,5301214400,891149936
THETA,155226605.2,810,0.038503552,690,90,494,0.103170078,1000000000,1402937814
TRX,1119316116,752,0.035746508,575,27,446,0.495558386,97973774751,6738752302
TWT,14848105.63,142,0.006442592,114,11,60,0.017202171,288094211,233967984
UMA,35357233.11,764,0.034662957,668,182,182,0.014565068,66207395,198100556
UTK,7524882.79,145,0.006578703,122,10,107,0.004449708,470000000,60520798
VET,342357598.7,2883,0.137044125,2617,230,2118,0.153815714,64315576989,2091632438
VGX,4913929,246,0.011194498,187,37,125,0.017806221,278482214,240611387
VLX,1792845.71,141,0.006397221,109,77,26,0.012303574,2299939976,167341809
WAVES,339898733.6,579,0.02752291,491,119,310,0.050092362,108271534,681171035
WAXP,24635407.07,33,0.001501701,10,5,3,0.018718433,1996513796,252937906
WIN,60076788.56,5,0.000226852,4,2,2,0.01013944,9.61737E+11,137907260
WOO,27328790.54,384,0.017474339,325,47,235,0.016024322,1050701441,216532997
WRX,12105543.24,3947,0.179076822,3677,654,2283,0.008717154,381856864.3,118562644
XDB,470318.83,160,0.007259258,158,23,113,0.008319412,958046512,113152929
XDC,10143518.61,687,0.031262685,587,100,354,0.041494947,12305012699,560711721
XEC,11080762.16,361,0.017160225,301,60,198,0.059436786,1.90595E+13,808239338
XEM,72443558.17,115,0.005233201,61,12,36,0.037468524,8999999999,506303595
XLM,245248620.3,993,0.047202503,829,90,645,0.250657494,24814034808,3408516153
XMR,200652546.6,694,0.032989463,302,22,235,0.213684355,18121519,2905744272
XPRT,758081.14,141,0.006397221,127,8,49,0.0212202,100378400,281664021.3
XRP,1461754770,5273,0.250653372,4708,670,3847,1.513635797,48343101197,20582875814
XTZ,84328712.8,43092,2.048388983,39193,4561,27431,0.120532311,894585939,1639034702
XYM,942548.78,153,0.006962432,116,7,72,0.045881363,5582460005,609001282.2
ZEC,299966266.4,1087,0.049277118,831,129,509,0.100291954,14389988,1362669035
ZIL,587122964.9,1849,0.087892677,1640,95,1342,0.054660099,12785477029,743284507
ZRX,80173134.49,145,0.006598383,90,12,57,0.026858681,847496055,362935211
